ID;OPERACAO;PAGTO;CLIENTE;DOCUMENTO;SACADO;DOCUMENTO;UA;PRODUTO;SIGLA;NUMERO;CADASTRO;EMISSAO;VENCIMENTO;VENCIMENTO EFETIVO;VENCIDO;SITUACAO;DATA SITUACAO;MANIFESTO;DATA MANIFESTO;VALOR NOMINAL;DESCONTO ABATIMENTO;VALOR LIQUIDO;VALOR PAGO;SALDO DEVEDOR;OSCILACAO;TAXA;DESAGIO;CUSTO;RECEITA;TARIFAS OPERACAO;PRAZO REAL;PRAZO COBRADO;GERENTE;SUPERINTENDENTE;BANCO COBRADOR
29407;3165;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FOM;NP;="11/Fomento-1";15/10/2021;15/10/2021;15/11/2021;15/11/2021;Nao;Liquidado Normalmente;20/12/2021;Inacessivel;15/10/2021;63.560,00;0,00;63.560,00;65.572,50;0,00;2.012,50;0,00000;0,00;0,00;0,00;0,00;31,00;31,00;;Douglas Floriano;;
29408;3165;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FOM;NP;="11/Fomento-2";15/10/2021;15/10/2021;15/12/2021;15/12/2021;Nao;Liquidado Normalmente;20/12/2021;Inacessivel;15/10/2021;63.560,00;0,00;63.560,00;64.937,10;0,00;1.377,10;0,00000;0,00;0,00;0,00;0,00;61,00;61,00;;Douglas Floriano;;
30859;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 1";03/01/2022;03/01/2022;06/01/2022;06/01/2022;Nao;Recomprado;06/01/2022;Sem Atuacao;03/01/2022;109.000,00;0,00;109.000,00;109.000,00;109.000,00;0,00;0,00000;0,00;0,00;0,00;0,00;3,00;3,00;;Douglas Floriano;341/2980/336990;
29409;3165;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FOM;NP;="11/Fomento-3";15/10/2021;15/10/2021;15/01/2022;15/01/2022;Nao;Liquidado Normalmente;20/12/2021;Inacessivel;15/10/2021;63.560,00;0,00;63.560,00;63.560,00;0,00;0,00;0,00000;0,00;0,00;0,00;0,00;92,00;92,00;;Douglas Floriano;;
28960;3141;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FOM;NP;="17";07/01/2022;07/01/2022;17/01/2022;17/01/2022;Nao;Liquidado Normalmente;14/10/2022;Inacessivel;07/01/2022;250.000,00;0,00;250.000,00;3.426,64;0,00;-246.573,36;0,00000;0,00;0,00;0,00;0,00;10,00;10,00;;Douglas Floriano;;
30860;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 10";03/01/2022;03/01/2022;17/01/2022;17/01/2022;Nao;Recomprado;19/01/2022;Sem Atuacao;03/01/2022;34.597,20;0,00;34.597,20;35.312,20;34.597,20;715,00;0,00000;0,00;0,00;0,00;0,00;14,00;14,00;;Douglas Floriano;341/2980/336990;
30861;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 8";03/01/2022;03/01/2022;17/01/2022;17/01/2022;Nao;Recomprado;17/01/2022;Sem Atuacao;03/01/2022;63.560,00;0,00;63.560,00;63.560,00;63.560,00;0,00;0,00000;0,00;0,00;0,00;0,00;14,00;14,00;;Douglas Floriano;341/2980/336990;
30862;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 14";03/01/2022;03/01/2022;19/01/2022;19/01/2022;Nao;Liquidado Normalmente;21/01/2022;Sem Atuacao;03/01/2022;21.526,20;0,00;21.526,20;21.971,06;0,00;444,86;0,00000;0,00;0,00;0,00;0,00;16,00;16,00;;Douglas Floriano;341/2980/336990;
29223;3158;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FOM;NP;="14/Fomento";20/12/2021;20/12/2021;20/01/2022;20/01/2022;Nao;Liquidado Normalmente;17/06/2022;Inacessivel;20/12/2021;538.880,00;0,00;538.880,00;5.344,99;0,00;-533.535,01;0,00000;0,00;0,00;0,00;0,00;31,00;31,00;;Douglas Floriano;;
29354;3162;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FOM;NP;="18/Fomento";10/01/2022;10/01/2022;20/01/2022;20/01/2022;Nao;Liquidado Normalmente;20/12/2022;Inacessivel;10/01/2022;150.000,00;0,00;150.000,00;2.857,02;0,00;-147.142,98;0,00000;0,00;0,00;0,00;0,00;10,00;10,00;;Douglas Floriano;;
